merchant_normalized,expense_category,confidence,note
AYANEO官方商城,购物,0.97,电子产品购物
Amazon web services,云服务/软件,0.97,云服务
GOOGLE*GOOGLE ONE,云服务/软件,0.97,云存储服务
Google CLOUD SJV6BH,云服务/软件,0.97,云服务
HASSIUM,教育学习,0.90,from_user_note
NUVEI GS,数字娱乐,0.88,海外数字服务通道
Nuvei GS (former Sma,数字娱乐,0.88,海外数字服务通道
PlayStation Network,数字娱乐,0.98,游戏平台
Sapphire Entertainme,教育学习,0.90,from_user_note
luckincoffee瑞幸咖啡,餐饮,0.99,常见连锁咖啡
上海惠牛网络科技有限公司,教育学习,0.90,from_user_note
上海拉扎斯信息科技有限公司,餐饮,0.92,外卖平台
上海盒马网络科技有限公司,购物,0.97,商超购物
东莞喵电电子商务有限公司,购物,0.90,from_user_note
中国人寿,保险保障,0.99,保险支出
中国电信,通讯缴费,0.98,通讯服务
中国石化销售股份有限公司四川,交通出行,0.98,加油支出
伊度造型,生活服务,0.90,from_user_note
优惠商户-大榕树下(东方宝泰店),餐饮,63.00,掌上生活优惠商户-大榕树下(东方宝泰店)
优惠商户-（限时特惠）大榕树下100,购物,88.00,掌上生活优惠商户-（限时特惠）大榕树下100
利宝保险有限公司四川分公司,保险保障,0.99,保险支出
北京度友科技有限公司,购物,92.00,财付通-北京度友科技有限公司
北京智者天下科技有限公司,教育学习,0.90,from_user_note
北京智谱华章科技股份有限公司,购物,79.31,支付宝-北京智谱华章科技股份有限公司
华为,数字娱乐,0.90,from_user_note
四川三和旧车服务有限公司,交通出行,0.90,from_user_note
四川奥特乐商业管理有限公司,购物,122.95,支付宝-四川奥特乐商业管理有限公司
四川省财政厅,行政缴费,0.97,政务缴费
国网汇通金财（北京）信息科技,购物,99.98,支付宝-国网汇通金财（北京）信息科技
宁波为美凡是电子商务有限公司,购物,0.90,from_user_note
宁波沁园营销管理有限公司,生活服务,0.90,from_user_note
宜信智泊,交通出行,0.98,停车支出
宜泊,交通出行,0.98,停车支出
山姆自助收银,购物,0.96,商超购物
广东联合电子服务股份有限公司,数字娱乐,0.90,from_user_note
广州星际悦动股份有限公司,生活服务,0.90,from_user_note
成都万象城,购物,0.90,from_user_note
成都万达广场商业管理有限公司,餐饮,64.00,财付通-成都万达广场商业管理有限公司
成都中欧灵科国际贸易有限公司,购物,75.25,支付宝-成都中欧灵科国际贸易有限公司
成都伊藤洋华堂锦华店,购物,0.97,商超购物
成都华联SKP百货有限公司,购物,0.97,百货购物
成都天府通数字科技有限公司,交通出行,0.95,
成都宏柏文旅有限公司,生活服务,0.90,from_user_note
成都宜宁投资有限公司第一分公,餐饮,0.90,from_user_note
成都极趣洛和文化科技有限公,购物,84.80,抖音支付-成都极趣洛和文化科技有限公
成都盒马,购物,0.95,商超购物
拉扎斯网络科技（上海）有限公,餐饮,0.92,外卖平台
拼多多平台商户,购物,0.98,电商平台
携程,旅行住宿,0.98,旅行相关
杭州弗睿得贸易有限公司,购物,0.60,电商购物
杭州霞娟科技有限公司,购物,72.00,支付宝-杭州霞娟科技有限公司
武侯区茗椀楼,餐饮,0.90,from_user_note
江苏心电互动汽车销售服务有限,交通出行,0.97,车辆服务
沃尔玛（中国）投资有限公司,购物,0.97,商超购物
泉膳中国,餐饮,0.90,from_user_note
淘票票,数字娱乐,0.96,电影票务
深圳市龙岗区心语欣欣文化艺术,教育学习,0.90,from_user_note
特来电新能源股份有限公司,交通出行,0.98,新能源充电
猛火赵爆炒家常,餐饮,82.00,财付通-猛火赵爆炒家常
珠海市永亨进出口贸易有限公司,购物,105.71,支付宝-珠海市永亨进出口贸易有限公司
理想,购车支出,0.99,车辆购置/相关支出
甲遇乙品牌管理（上海）有限公,购物,112.49,支付宝-甲遇乙品牌管理（上海）有限公
福州小羊上山文化创意有限公司,教育学习,0.90,from_user_note
美团,餐饮,0.90,本地生活以餐饮为主
美团平台商户,餐饮,0.94,本地生活以餐饮为主
美年大健康,医疗健康,0.97,体检医疗
肯德基,餐饮,0.99,常见连锁快餐
蜜雪冰城,餐饮,0.97,餐饮消费
贝壳平台商户,居家物业,0.98,居家/房屋相关
轻巧拿（合肥）科技有限公司,购物,0.90,无人零售
锦江区星辉汽车服务中心,交通出行,0.97,车辆服务
高德打车,交通出行,0.97,出行服务
