merchant_normalized,expense_category,consume_count,consume_total,review_count
商户077,购物,14,5576.93,0
商户079,旅行住宿,2,4553.27,0
商户053,购物,1,3000.32,0
商户034,保险保障,1,2505.84,0
商户123,交通出行,1,2381.85,0
商户061,购物,1,1768.94,0
商户023,通讯缴费,9,1445.43,0
商户049,行政缴费,11,1012.90,0
商户024,交通出行,2,967.73,0
商户109,餐饮,118,962.80,0
商户075,居家物业,1,918.31,0
商户064,购物,1,903.06,0
商户007,数字娱乐,9,735.20,0
商户085,购物,1,687.36,0
商户054,生活服务,1,682.49,0
商户106,餐饮,8,572.71,0
商户008,数字娱乐,2,511.24,0
商户056,交通出行,2,464.64,0
商户006,数字娱乐,1,449.73,0
商户060,餐饮,1,272.14,0
商户055,交通出行,1,233.34,0
商户040,购物,1,219.56,0
商户030,生活服务,3,189.37,0
商户035,教育学习,1,186.52,0
商户017,餐饮,7,169.32,0
商户018,购物,3,163.83,0
商户066,餐饮,1,158.88,0
商户020,购物,4,150.95,0
商户052,购物,1,142.41,0
商户072,购物,2,129.04,0
商户105,餐饮,9,128.12,0
商户041,购物,1,124.40,0
商户012,餐饮,14,119.33,0
商户082,数字娱乐,2,117.55,0
商户084,交通出行,1,114.78,0
商户029,购物,3,113.82,0
商户005,云服务/软件,3,95.79,0
商户097,购物,1,93.58,0
商户115,购物,28,86.26,0
商户088,购物,3,82.55,0
商户069,购物,1,70.44,0
商户032,购物,1,68.93,0
商户010,数字娱乐,8,66.58,0
商户094,餐饮,2,64.09,0
商户027,餐饮,1,64.05,0
商户111,餐饮,1,61.41,0
商户083,购物,1,58.85,0
商户096,交通出行,6,53.25,0
商户076,餐饮,2,49.54,0
商户081,待分类,2,49.34,2
商户050,通讯缴费,2,46.71,0
商户114,餐饮,6,46.57,0
商户038,购物,1,45.72,0
商户011,云服务/软件,3,44.08,0
商户031,餐饮,1,39.43,0
商户037,教育学习,3,37.35,0
商户090,数字娱乐,1,36.80,0
商户116,交通出行,6,36.77,0
商户086,餐饮,1,35.39,0
商户118,餐饮,2,31.45,0
商户045,购物,1,31.35,0
商户117,居家物业,9,30.25,0
商户120,餐饮,1,30.07,0
商户003,云服务/软件,3,29.30,0
商户122,餐饮,1,29.09,0
商户127,待分类,1,27.81,1
商户036,购物,2,26.74,0
商户089,购物,1,26.14,0
商户004,云服务/软件,1,25.70,0
商户028,购物,1,24.93,0
商户062,餐饮,3,22.99,0
商户095,交通出行,1,21.69,0
商户059,购物,1,21.09,0
商户092,通讯缴费,1,21.09,0
商户104,待分类,2,20.92,2
商户110,餐饮,1,18.91,0
商户065,待分类,7,18.62,7
商户119,待分类,1,18.09,1
商户039,待分类,1,17.54,1
商户100,待分类,1,16.17,1
商户091,待分类,1,15.21,1
商户009,餐饮,1,14.78,0
商户026,待分类,1,14.57,1
商户022,待分类,2,12.89,2
商户101,购物,1,12.42,0
商户102,待分类,1,11.35,1
商户080,待分类,1,10.12,1
商户013,购物,1,7.82,0
商户126,待分类,1,7.81,1
商户128,交通出行,1,7.56,0
商户068,餐饮,3,7.13,0
商户063,购物,1,7.09,0
商户121,餐饮,1,6.78,0
商户074,居家物业,1,6.64,0
商户070,交通出行,1,6.49,0
商户001,待分类,1,6.49,1
商户019,待分类,1,6.44,1
商户103,待分类,1,6.27,1
商户098,待分类,1,6.23,1
商户057,交通出行,1,6.14,0
商户033,居家物业,1,6.13,0
商户042,待分类,1,5.27,1
商户058,居家物业,1,5.17,0
商户015,购物,1,4.67,0
商户093,待分类,1,4.24,1
商户016,交通出行,1,4.05,0
商户014,购物,2,3.96,0
商户129,居家物业,1,3.88,0
商户124,购物,1,3.87,0
商户021,交通出行,1,3.83,0
商户067,待分类,1,3.74,1
商户125,待分类,1,3.71,1
商户025,待分类,1,3.50,1
商户107,待分类,1,3.49,1
商户048,待分类,1,3.37,1
商户002,待分类,1,3.12,1
商户046,待分类,1,3.00,1
商户087,交通出行,1,2.77,0
商户071,待分类,1,2.72,1
商户113,交通出行,1,2.71,0
商户047,待分类,1,2.55,1
商户043,购物,1,2.43,0
商户112,待分类,1,2.33,1
商户108,待分类,1,2.30,1
商户044,交通出行,1,2.28,0
商户051,购物,1,2.23,0
商户073,待分类,1,2.03,1
商户099,待分类,1,1.00,1
商户078,待分类,1,1.00,1
